Country,Day,Daily.cases
United States,45252,0
United States,45253,0
United States,45254,0
United States,45255,0
United States,45256,0
United States,45257,0
United States,45258,64
United States,45259,0
United States,45260,0
United States,45261,0
United States,45262,0
United States,45263,0
United States,45264,0
United States,45265,70
United States,45266,0
United States,45267,0
United States,45268,0
United States,45269,0
United States,45270,0
United States,45271,0
United States,45272,54
United States,45273,0
United States,45274,0
United States,45275,0
United States,45276,0
United States,45277,0
United States,45278,0
United States,45279,60
United States,45280,0
United States,45281,0
United States,45282,0
United States,45283,0
United States,45284,0
United States,45285,0
United States,45286,56
United States,45287,0
United States,45288,0
United States,45289,0
United States,45290,0
United States,45291,0
